Province/States,Country/Region,WHO region,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,6/1/2020
Confirmed,Globally,,17391,20630,24554,28276,31481,40554,43103,45171,46997,49053,73332,75204,75748,76769,79331,80239,81109,82294,83652,88948,90870,93091,95324,98192,109577,113702,118319,125048,132758,167515,179111,191127,209839,234073,332930,372755,413467,462684,509164,693282,750890,823626,896450,972303,1210956,1279722,1353361,1210956,1773084,1844863,1914916,1991562,2074529,2314621,2397216,2471136,2544792,2626321,2878196,2954222,3018681,3090445,3175207,3435894,3517345,3588773,3672238,3759967,4006257,4088848,4170424,4248389,4338658,4618821,4731458,4789205,4893186,4993470,5404512,5488825,5593631,5701337,6057853
,,,14557,17391,20630,24554,28276,37558,40554,43103,45171,46997,71429,73332,75204,75748,78811,79331,80239,81109,82294,87137,88948,90870,93091,95324,105586,109577,113702,118319,125048,153517,167515,179111,191127,209839,292142,332930,372755,413467,462684,634813,693282,750890,823626,896450,1133758,1210956,1279722,1353361,1696588,1773084,1844863,1914916,1991562,2241778,2314621,2397216,2471136,2544792,2804796,2878196,2954222,3018681,3090445,3349786,3435894,3517345,3588773,3672238,3917366,4006257,4088848,4170424,4248389,4525497,4618821,4731458,4789205,4893186,5304772,5404512,5488825,5593631,5934936
New cases,Globally,,2834,3239,3924,3722,3205,2996,2549,2068,1826,2056,1903,1872,544,1021,520,908,870,1185,1358,1811,1922,2221,2233,2868,3991,4125,4617,6729,7710,13998,11596,12016,18712,24234,40788,39825,40712,49217,46480,58469,57608,72736,72824,75853,77198,68766,73639,-142405,76496,71779,70053,76646,82967,72843,82595,73920,73656,81529,73400,76026,64459,71764,84762,86108,81451,71428,83465,87729,88891,82591,81576,77965,90269,93324,112637,57747,103981,100284,99740,84313,104806,107706,122917
Deaths,Globally,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7426,7807,8778,9840,14509,16231,18433,20834,23335,33106,36405,40598,45525,50321,67594,72614,79235,85522,111652,117021,123010,130885,139378,157847,162956,169006,175694,181938,198668,202597,207973,217769,224172,239604,243401,247503,254045,259474,278892,283153,287399,292046,297119,311847,316169,318789,323256,327738,343514,349095,353334,357688,371166
Confirmed,China,Western Pacific Region,17238,20471,24363,28060,31211,40235,42708,44730,46550,48548,72528,74280,74675,75569,77262,77780,78191,78630,78961,80174,80304,80422,80565,80711,80904,80924,80955,80981,80991,81077,81116,81116,81174,81300,81601,81747,81848,81961,82078,82447,82545,82631,82724,82802,83005,83071,83157,83249,83597,83696,83745,83797,84149,84237,84250,84287,84302,84311,84341,84347,84369,84373,84385,84400,84404,84406,84409,84415,84450,84451,84458,84464,84469,84494,84500,84505,84507,84520,84543,84544,84547,84547,84588
Confirmed,Outside of China,,153,159,191,216,270,319,395,441,447,505,804,924,1073,1200,2069,2459,2918,3664,4691,8774,10566,12669,14759,17481,28673,32778,37364,44067,51767,86438,97995,110011,128665,152773,251329,291008,331619,380723,427086,610835,668345,740995,813726,889501,1127951,1196651,1270204,1127707,1689487,1761167,1831171,1907765,1990380,2230384,2312966,2386849,2460490,2542010,2793855,2869875,2934312,3006072,3090822,3351494,3432941,3504367,3587829,3675552,3921807,4004397,4085966,4163925,4254189,4534327,4646958,4704700,4808679,4908950,5319969,5404281,5509084,5616790,5973265
Deaths,China,Western Pacific Region,361,425,491,564,637,909,1017,1114,1260,1381,1870,2006,2121,2239,2595,2666,2718,2747,2791,2915,2946,2984,3015,3045,3123,3140,3162,3173,4955,3218,3231,3231,3242,3253,3276,3283,3287,3293,3298,3310,3314,3321,3327,3331,3340,3340,3342,3344,3351,3351,3352,3352,4642,4642,4642,4642,4642,4642,4643,4643,4643,4643,4643,4643,4643,4643,4643,4643,4643,4644,4644,4644,4644,4645,4645,4645,4645,4645,4645,4645,4645,4645,4645
Deaths,Outside of China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4062,4443,5394,6428,11029,12722,14908,17287,19761,29450,32727,36890,41791,46550,63722,68711,75302,81567,107515,112848,118797,126634,133807,152186,157258,163200,169863,176056,192697,196586,201923,211662,218032,233333,237101,241163,247671,253067,272386,276613,280808,285411,290442,305091,309391,311996,316450,320908,336599,342155,346364,350694,364116
,,,361,425,491,564,637,909,1017,1114,1260,1381,1870,2006,2121,2239,2595,2666,2718,2747,2791,2915,2946,2984,3015,3045,3123,3140,3162,3173,4955,3218,7293,7674,8636,9681,14305,16005,18195,20580,23059,32760,36041,40211,45118,49881,67062,72051,78644,84911,110866,116199,122149,129986,138449,156828,161900,167842,174505,180698,197340,201229,206566,216305,222675,237976,241744,245806,252314,257710,277029,281257,285452,290055,295086,309736,314036,316641,321095,325553,341244,346800,351009,355339,368761
New Deaths,Globally,,57,64,66,73,73,97,108,97,146,121,98,136,115,118,150,71,52,29,44,42,31,38,31,30,23,17,22,11,1782,14,4075,381,962,1045,1700,1700,2190,2385,2479,3196,3281,4170,4907,4763,4789,4989,6593,6267,5634,5333,5950,7837,8463,5269,5072,5942,6663,6193,4944,3889,5337,9739,6370,947,3768,4062,6508,5396,4508,4228,4195,4603,5031,4439,4300,2605,4454,4458,1462,5556,4209,4330,3991
